           #Qpath      Energy(meV)           S(Q,E)
  0.0000000000E+00  0.0000000000E+00  9.9999997474E-06
  0.0000000000E+00  8.0000000000E-02  9.9999997474E-06
  0.0000000000E+00  1.6000000000E-01  9.9999997474E-06
  0.0000000000E+00  2.4000000000E-01  9.9999997474E-06
  0.0000000000E+00  3.2000000000E-01  9.9999997474E-06
  0.0000000000E+00  4.0000000000E-01  9.9999997474E-06
  0.0000000000E+00  4.8000000000E-01  9.9999997474E-06
  0.0000000000E+00  5.6000000000E-01  9.9999997474E-06
  0.0000000000E+00  6.4000000000E-01  9.9999997474E-06
  0.0000000000E+00  7.2000000000E-01  9.9999997474E-06
  0.0000000000E+00  8.0000000000E-01  9.9999997474E-06
  0.0000000000E+00  8.8000000000E-01  9.9999997474E-06
  0.0000000000E+00  9.6000000000E-01  9.9999997474E-06
  0.0000000000E+00  1.0400000000E+00  9.9999997474E-06
  0.0000000000E+00  1.1200000000E+00  9.9999997474E-06
  0.0000000000E+00  1.2000000000E+00  9.9999997474E-06
  0.0000000000E+00  1.2800000000E+00  9.9999997474E-06
  0.0000000000E+00  1.3600000000E+00  9.9999997474E-06
  0.0000000000E+00  1.4400000000E+00  9.9999997474E-06
  0.0000000000E+00  1.5200000000E+00  9.9999997474E-06
  0.0000000000E+00  1.6000000000E+00  9.9999997474E-06
  0.0000000000E+00  1.6800000000E+00  9.9999997474E-06
  0.0000000000E+00  1.7600000000E+00  9.9999997474E-06
  0.0000000000E+00  1.8400000000E+00  9.9999997474E-06
  0.0000000000E+00  1.9200000000E+00  9.9999997474E-06
  0.0000000000E+00  2.0000000000E+00  9.9999997474E-06
  0.0000000000E+00  2.0800000000E+00  9.9999997474E-06
  0.0000000000E+00  2.1600000000E+00  9.9999997474E-06
  0.0000000000E+00  2.2400000000E+00  9.9999997474E-06
  0.0000000000E+00  2.3200000000E+00  9.9999997474E-06
  0.0000000000E+00  2.4000000000E+00  9.9999997474E-06
  0.0000000000E+00  2.4800000000E+00  9.9999997474E-06
  0.0000000000E+00  2.5600000000E+00  9.9999997474E-06
  0.0000000000E+00  2.6400000000E+00  9.9999997474E-06
  0.0000000000E+00  2.7200000000E+00  9.9999997474E-06
  0.0000000000E+00  2.8000000000E+00  9.9999997474E-06
  0.0000000000E+00  2.8800000000E+00  9.9999997474E-06
  0.0000000000E+00  2.9600000000E+00  9.9999997474E-06
  0.0000000000E+00  3.0400000000E+00  9.9999997474E-06
  0.0000000000E+00  3.1200000000E+00  9.9999997474E-06
  0.0000000000E+00  3.2000000000E+00  9.9999997474E-06
  0.0000000000E+00  3.2800000000E+00  9.9999997474E-06
  0.0000000000E+00  3.3600000000E+00  9.9999997474E-06
  0.0000000000E+00  3.4400000000E+00  9.9999997474E-06
  0.0000000000E+00  3.5200000000E+00  9.9999997474E-06
  0.0000000000E+00  3.6000000000E+00  9.9999997474E-06
  0.0000000000E+00  3.6800000000E+00  9.9999997474E-06
  0.0000000000E+00  3.7600000000E+00  9.9999997474E-06
  0.0000000000E+00  3.8400000000E+00  9.9999997474E-06
  0.0000000000E+00  3.9200000000E+00  9.9999997474E-06
  0.0000000000E+00  4.0000000000E+00  9.9999997474E-06
  0.0000000000E+00  4.0800000000E+00  9.9999997474E-06
  0.0000000000E+00  4.1600000000E+00  9.9999997474E-06
  0.0000000000E+00  4.2400000000E+00  9.9999997474E-06
  0.0000000000E+00  4.3200000000E+00  9.9999997474E-06
  0.0000000000E+00  4.4000000000E+00  9.9999997474E-06
  0.0000000000E+00  4.4800000000E+00  9.9999997474E-06
  0.0000000000E+00  4.5600000000E+00  9.9999997474E-06
  0.0000000000E+00  4.6400000000E+00  9.9999997474E-06
  0.0000000000E+00  4.7200000000E+00  9.9999997474E-06
  0.0000000000E+00  4.8000000000E+00  9.9999997474E-06
  0.0000000000E+00  4.8800000000E+00  9.9999997474E-06
  0.0000000000E+00  4.9600000000E+00  9.9999997474E-06
  0.0000000000E+00  5.0400000000E+00  9.9999997474E-06
  0.0000000000E+00  5.1200000000E+00  9.9999997474E-06
  0.0000000000E+00  5.2000000000E+00  9.9999997474E-06
  0.0000000000E+00  5.2800000000E+00  9.9999997474E-06
  0.0000000000E+00  5.3600000000E+00  9.9999997474E-06
  0.0000000000E+00  5.4400000000E+00  9.9999997474E-06
  0.0000000000E+00  5.5200000000E+00  9.9999997474E-06
  0.0000000000E+00  5.6000000000E+00  9.9999997474E-06
  0.0000000000E+00  5.6800000000E+00  9.9999997474E-06
  0.0000000000E+00  5.7600000000E+00  9.9999997474E-06
  0.0000000000E+00  5.8400000000E+00  9.9999997474E-06
  0.0000000000E+00  5.9200000000E+00  9.9999997474E-06
  0.0000000000E+00  6.0000000000E+00  9.9999997474E-06
  0.0000000000E+00  6.0800000000E+00  9.9999997474E-06
  0.0000000000E+00  6.1600000000E+00  9.9999997474E-06
  0.0000000000E+00  6.2400000000E+00  9.9999997474E-06
