           #Qpath      Energy(meV)           S(Q,E)
  0.0000000000E+00  0.0000000000E+00  9.9999997474E-06
  0.0000000000E+00  3.0075187970E-02  9.9999997474E-06
  0.0000000000E+00  6.0150375940E-02  9.9999997474E-06
  0.0000000000E+00  9.0225563910E-02  9.9999997474E-06
  0.0000000000E+00  1.2030075188E-01  9.9999997474E-06
  0.0000000000E+00  1.5037593985E-01  9.9999997474E-06
  0.0000000000E+00  1.8045112782E-01  9.9999997474E-06
  0.0000000000E+00  2.1052631579E-01  9.9999997474E-06
  0.0000000000E+00  2.4060150376E-01  9.9999997474E-06
  0.0000000000E+00  2.7067669173E-01  9.9999997474E-06
  0.0000000000E+00  3.0075187970E-01  9.9999997474E-06
  0.0000000000E+00  3.3082706767E-01  9.9999997474E-06
  0.0000000000E+00  3.6090225564E-01  9.9999997474E-06
  0.0000000000E+00  3.9097744361E-01  9.9999997474E-06
  0.0000000000E+00  4.2105263158E-01  9.9999997474E-06
  0.0000000000E+00  4.5112781955E-01  9.9999997474E-06
  0.0000000000E+00  4.8120300752E-01  9.9999997474E-06
  0.0000000000E+00  5.1127819549E-01  9.9999997474E-06
  0.0000000000E+00  5.4135338346E-01  9.9999997474E-06
  0.0000000000E+00  5.7142857143E-01  9.9999997474E-06
  0.0000000000E+00  6.0150375940E-01  9.9999997474E-06
  0.0000000000E+00  6.3157894737E-01  9.9999997474E-06
  0.0000000000E+00  6.6165413534E-01  9.9999997474E-06
  0.0000000000E+00  6.9172932331E-01  9.9999997474E-06
  0.0000000000E+00  7.2180451128E-01  9.9999997474E-06
  0.0000000000E+00  7.5187969925E-01  9.9999997474E-06
  0.0000000000E+00  7.8195488722E-01  9.9999997474E-06
  0.0000000000E+00  8.1203007519E-01  9.9999997474E-06
  0.0000000000E+00  8.4210526316E-01  9.9999997474E-06
  0.0000000000E+00  8.7218045113E-01  9.9999997474E-06
  0.0000000000E+00  9.0225563910E-01  9.9999997474E-06
  0.0000000000E+00  9.3233082707E-01  9.9999997474E-06
  0.0000000000E+00  9.6240601504E-01  9.9999997474E-06
  0.0000000000E+00  9.9248120301E-01  9.9999997474E-06
  0.0000000000E+00  1.0225563910E+00  9.9999997474E-06
  0.0000000000E+00  1.0526315789E+00  9.9999997474E-06
  0.0000000000E+00  1.0827067669E+00  9.9999997474E-06
  0.0000000000E+00  1.1127819549E+00  9.9999997474E-06
  0.0000000000E+00  1.1428571429E+00  9.9999997474E-06
  0.0000000000E+00  1.1729323308E+00  9.9999997474E-06
  0.0000000000E+00  1.2030075188E+00  9.9999997474E-06
  0.0000000000E+00  1.2330827068E+00  9.9999997474E-06
  0.0000000000E+00  1.2631578947E+00  9.9999997474E-06
  0.0000000000E+00  1.2932330827E+00  9.9999997474E-06
  0.0000000000E+00  1.3233082707E+00  9.9999997474E-06
  0.0000000000E+00  1.3533834586E+00  9.9999997474E-06
  0.0000000000E+00  1.3834586466E+00  9.9999997474E-06
  0.0000000000E+00  1.4135338346E+00  9.9999997474E-06
  0.0000000000E+00  1.4436090226E+00  9.9999997474E-06
  0.0000000000E+00  1.4736842105E+00  9.9999997474E-06
  0.0000000000E+00  1.5037593985E+00  9.9999997474E-06
  0.0000000000E+00  1.5338345865E+00  9.9999997474E-06
  0.0000000000E+00  1.5639097744E+00  9.9999997474E-06
  0.0000000000E+00  1.5939849624E+00  9.9999997474E-06
  0.0000000000E+00  1.6240601504E+00  9.9999997474E-06
  0.0000000000E+00  1.6541353383E+00  9.9999997474E-06
  0.0000000000E+00  1.6842105263E+00  9.9999997474E-06
  0.0000000000E+00  1.7142857143E+00  9.9999997474E-06
  0.0000000000E+00  1.7443609023E+00  9.9999997474E-06
  0.0000000000E+00  1.7744360902E+00  9.9999997474E-06
  0.0000000000E+00  1.8045112782E+00  9.9999997474E-06
  0.0000000000E+00  1.8345864662E+00  9.9999997474E-06
  0.0000000000E+00  1.8646616541E+00  9.9999997474E-06
  0.0000000000E+00  1.8947368421E+00  9.9999997474E-06
  0.0000000000E+00  1.9248120301E+00  9.9999997474E-06
