           #Qpath      Energy(meV)         S(|Q|,E)
  0.0000000000E+00  0.0000000000E+00  2.0053262768E-02
  0.0000000000E+00  1.0000000000E-01  2.0524883677E-02
  0.0000000000E+00  2.0000000000E-01  2.0963319845E-02
  0.0000000000E+00  3.0000000000E-01  2.1366026158E-02
  0.0000000000E+00  4.0000000000E-01  2.1730636540E-02
  0.0000000000E+00  5.0000000000E-01  2.2054987226E-02
  0.0000000000E+00  6.0000000000E-01  2.2337138265E-02
  0.0000000000E+00  7.0000000000E-01  2.2575392949E-02
  0.0000000000E+00  8.0000000000E-01  2.2768314892E-02
  0.0000000000E+00  9.0000000000E-01  2.2914742532E-02
  0.0000000000E+00  1.0000000000E+00  2.3013800826E-02
  0.0000000000E+00  1.1000000000E+00  2.3064909999E-02
  0.0000000000E+00  1.2000000000E+00  2.3067791202E-02
  0.0000000000E+00  1.3000000000E+00  2.3022469012E-02
  0.0000000000E+00  1.4000000000E+00  2.2929270751E-02
  0.0000000000E+00  1.5000000000E+00  2.2788822618E-02
  0.0000000000E+00  1.6000000000E+00  2.2602042720E-02
  0.0000000000E+00  1.7000000000E+00  2.2370131098E-02
  0.0000000000E+00  1.8000000000E+00  2.2094556898E-02
  0.0000000000E+00  1.9000000000E+00  2.1777042890E-02
  0.0000000000E+00  2.0000000000E+00  2.1419547546E-02
  0.0000000000E+00  2.1000000000E+00  2.1024244959E-02
  0.0000000000E+00  2.2000000000E+00  2.0593502864E-02
  0.0000000000E+00  2.3000000000E+00  2.0129859101E-02
  0.0000000000E+00  2.4000000000E+00  1.9635996820E-02
  0.0000000000E+00  2.5000000000E+00  1.9114718782E-02
  0.0000000000E+00  2.6000000000E+00  1.8568921089E-02
  0.0000000000E+00  2.7000000000E+00  1.8001566690E-02
  0.0000000000E+00  2.8000000000E+00  1.7415658993E-02
  0.0000000000E+00  2.9000000000E+00  1.6814215907E-02
  0.0000000000E+00  3.0000000000E+00  1.6200244620E-02
  0.0000000000E+00  3.1000000000E+00  1.5576717400E-02
  0.0000000000E+00  3.2000000000E+00  1.4946548668E-02
  0.0000000000E+00  3.3000000000E+00  1.4312573592E-02
  0.0000000000E+00  3.4000000000E+00  1.3677528381E-02
  0.0000000000E+00  3.5000000000E+00  1.3044032459E-02
  0.0000000000E+00  3.6000000000E+00  1.2414572651E-02
  0.0000000000E+00  3.7000000000E+00  1.1791489472E-02
  0.0000000000E+00  3.8000000000E+00  1.1176965578E-02
  0.0000000000E+00  3.9000000000E+00  1.0573016430E-02
  0.0000000000E+00  4.0000000000E+00  9.9814831342E-03
  0.0000000000E+00  4.1000000000E+00  9.4040274521E-03
  0.0000000000E+00  4.2000000000E+00  8.8421288984E-03
  0.0000000000E+00  4.3000000000E+00  8.2970838475E-03
  0.0000000000E+00  4.4000000000E+00  7.7700065313E-03
  0.0000000000E+00  4.5000000000E+00  7.2618317991E-03
  0.0000000000E+00  4.6000000000E+00  6.7733194902E-03
  0.0000000000E+00  4.7000000000E+00  6.3050602586E-03
  0.0000000000E+00  4.8000000000E+00  5.8574826803E-03
  0.0000000000E+00  4.9000000000E+00  5.4308614669E-03
  0.0000000000E+00  5.0000000000E+00  5.0253266058E-03
  0.0000000000E+00  5.1000000000E+00  4.6408732506E-03
  0.0000000000E+00  5.2000000000E+00  4.2773721844E-03
  0.0000000000E+00  5.3000000000E+00  3.9345806879E-03
  0.0000000000E+00  5.4000000000E+00  3.6121536508E-03
  0.0000000000E+00  5.5000000000E+00  3.3096547733E-03
  0.0000000000E+00  5.6000000000E+00  3.0265677199E-03
  0.0000000000E+00  5.7000000000E+00  2.7623070957E-03
  0.0000000000E+00  5.8000000000E+00  2.5162291331E-03
  0.0000000000E+00  5.9000000000E+00  2.2876419882E-03
  0.0000000000E+00  6.0000000000E+00  2.0758155614E-03
  0.0000000000E+00  6.1000000000E+00  1.8799907720E-03
  0.0000000000E+00  6.2000000000E+00  1.6993882309E-03
  0.0000000000E+00  6.3000000000E+00  1.5332162660E-03
  0.0000000000E+00  6.4000000000E+00  1.3806782734E-03
  0.0000000000E+00  6.5000000000E+00  1.2409793745E-03
  0.0000000000E+00  6.6000000000E+00  1.1133323740E-03
  0.0000000000E+00  6.7000000000E+00  9.9696302186E-04
  0.0000000000E+00  6.8000000000E+00  8.9111459151E-04
  0.0000000000E+00  6.9000000000E+00  7.9505179643E-04
  0.0000000000E+00  7.0000000000E+00  7.0806407079E-04
  0.0000000000E+00  7.1000000000E+00  6.2946824801E-04
  0.0000000000E+00  7.2000000000E+00  5.5861067411E-04
  0.0000000000E+00  7.3000000000E+00  4.9486879648E-04
  0.0000000000E+00  7.4000000000E+00  4.3765227087E-04
  0.0000000000E+00  7.5000000000E+00  3.8640363105E-04
  0.0000000000E+00  7.6000000000E+00  3.4059856566E-04
  0.0000000000E+00  7.7000000000E+00  2.9974584712E-04
  0.0000000000E+00  7.8000000000E+00  2.6338695606E-04
  0.0000000000E+00  7.9000000000E+00  2.3109544384E-04
  0.0000000000E+00  8.0000000000E+00  2.0247607332E-04
  0.0000000000E+00  8.1000000000E+00  1.7716377624E-04
  0.0000000000E+00  8.2000000000E+00  1.5482246276E-04
  0.0000000000E+00  8.3000000000E+00  1.3514371610E-04
  0.0000000000E+00  8.4000000000E+00  1.1784540214E-04
  0.0000000000E+00  8.5000000000E+00  1.0267022135E-04
  0.0000000000E+00  8.6000000000E+00  8.9384226852E-05
  0.0000000000E+00  8.7000000000E+00  7.7775330149E-05
  0.0000000000E+00  8.8000000000E+00  6.7651812774E-05
  0.0000000000E+00  8.9000000000E+00  5.8840859689E-05
  0.0000000000E+00  9.0000000000E+00  5.1187127635E-05
  0.0000000000E+00  9.1000000000E+00  4.4551359279E-05
  0.0000000000E+00  9.2000000000E+00  3.8809051837E-05
  0.0000000000E+00  9.3000000000E+00  3.3849186857E-05
  0.0000000000E+00  9.4000000000E+00  2.9573026067E-05
  0.0000000000E+00  9.5000000000E+00  2.5892976584E-05
  0.0000000000E+00  9.6000000000E+00  2.2731527425E-05
  0.0000000000E+00  9.7000000000E+00  2.0020258000E-05
  0.0000000000E+00  9.8000000000E+00  1.7698918288E-05
  0.0000000000E+00  9.9000000000E+00  1.5714579480E-05
  0.0000000000E+00  1.0000000000E+01  1.4020853233E-05

  4.0000000000E-02  0.0000000000E+00  4.0329011383E-02
  4.0000000000E-02  1.0000000000E-01  4.1464365667E-02
  4.0000000000E-02  2.0000000000E-01  4.2545685173E-02
  4.0000000000E-02  3.0000000000E-01  4.3567261448E-02
  4.0000000000E-02  4.0000000000E-01  4.4523618971E-02
  4.0000000000E-02  5.0000000000E-01  4.5409564421E-02
  4.0000000000E-02  6.0000000000E-01  4.6220234016E-02
  4.0000000000E-02  7.0000000000E-01  4.6951138341E-02
  4.0000000000E-02  8.0000000000E-01  4.7598204068E-02
  4.0000000000E-02  9.0000000000E-01  4.8157812023E-02
  4.0000000000E-02  1.0000000000E+00  4.8626831106E-02
  4.0000000000E-02  1.1000000000E+00  4.9002647601E-02
  4.0000000000E-02  1.2000000000E+00  4.9283189512E-02
  4.0000000000E-02  1.3000000000E+00  4.9466945590E-02
  4.0000000000E-02  1.4000000000E+00  4.9552978814E-02
  4.0000000000E-02  1.5000000000E+00  4.9540934160E-02
  4.0000000000E-02  1.6000000000E+00  4.9431040567E-02
  4.0000000000E-02  1.7000000000E+00  4.9224107099E-02
  4.0000000000E-02  1.8000000000E+00  4.8921513379E-02
  4.0000000000E-02  1.9000000000E+00  4.8525194444E-02
  4.0000000000E-02  2.0000000000E+00  4.8037620252E-02
  4.0000000000E-02  2.1000000000E+00  4.7461770158E-02
  4.0000000000E-02  2.2000000000E+00  4.6801102700E-02
  4.0000000000E-02  2.3000000000E+00  4.6059521150E-02
  4.0000000000E-02  2.4000000000E+00  4.5241335285E-02
  4.0000000000E-02  2.5000000000E+00  4.4351219918E-02
  4.0000000000E-02  2.6000000000E+00  4.3394170729E-02
  4.0000000000E-02  2.7000000000E+00  4.2375457985E-02
  4.0000000000E-02  2.8000000000E+00  4.1300578737E-02
  4.0000000000E-02  2.9000000000E+00  4.0175208094E-02
  4.0000000000E-02  3.0000000000E+00  3.9005150172E-02
  4.0000000000E-02  3.1000000000E+00  3.7796289290E-02
  4.0000000000E-02  3.2000000000E+00  3.6554541982E-02
  4.0000000000E-02  3.3000000000E+00  3.5285810343E-02
  4.0000000000E-02  3.4000000000E+00  3.3995937203E-02
  4.0000000000E-02  3.5000000000E+00  3.2690663586E-02
  4.0000000000E-02  3.6000000000E+00  3.1375588834E-02
  4.0000000000E-02  3.7000000000E+00  3.0056133763E-02
  4.0000000000E-02  3.8000000000E+00  2.8737507126E-02
  4.0000000000E-02  3.9000000000E+00  2.7424675623E-02
  4.0000000000E-02  4.0000000000E+00  2.6122337635E-02
  4.0000000000E-02  4.1000000000E+00  2.4834900796E-02
  4.0000000000E-02  4.2000000000E+00  2.3566463455E-02
  4.0000000000E-02  4.3000000000E+00  2.2320800055E-02
