           #Qpath      Energy(meV)           S(Q,E)
  0.0000000000E+00  0.0000000000E+00  1.8735027017E+09
  0.0000000000E+00  5.0125313283E-02  1.8703726795E+09
  0.0000000000E+00  1.0025062657E-01  1.8607553336E+09
  0.0000000000E+00  1.5037593985E-01  1.8447507299E+09
  0.0000000000E+00  2.0050125313E-01  1.8225246257E+09
  0.0000000000E+00  2.5062656642E-01  1.7943056117E+09
  0.0000000000E+00  3.0075187970E-01  1.7603811990E+09
  0.0000000000E+00  3.5087719298E-01  1.7210929427E+09
  0.0000000000E+00  4.0100250627E-01  1.6768307205E+09
  0.0000000000E+00  4.5112781955E-01  1.6280262984E+09
  0.0000000000E+00  5.0125313283E-01  1.5751463314E+09
  0.0000000000E+00  5.5137844612E-01  1.5186849601E+09
  0.0000000000E+00  6.0150375940E-01  1.4591561637E+09
  0.0000000000E+00  6.5162907268E-01  1.3970860362E+09
  0.0000000000E+00  7.0175438596E-01  1.3330051454E+09
  0.0000000000E+00  7.5187969925E-01  1.2674411277E+09
  0.0000000000E+00  8.0200501253E-01  1.2009116596E+09
  0.0000000000E+00  8.5213032581E-01  1.1339179314E+09
  0.0000000000E+00  9.0225563910E-01  1.0669387312E+09
  0.0000000000E+00  9.5238095238E-01  1.0004252270E+09
  0.0000000000E+00  1.0025062657E+00  9.3479651388E+08
  0.0000000000E+00  1.0526315789E+00  8.7043597026E+08
  0.0000000000E+00  1.1027568922E+00  8.0768844765E+08
  0.0000000000E+00  1.1528822055E+00  7.4685829474E+08
  0.0000000000E+00  1.2030075188E+00  6.8820819876E+08
  0.0000000000E+00  1.2531328321E+00  6.3195880844E+08
  0.0000000000E+00  1.3032581454E+00  5.7828908725E+08
  0.0000000000E+00  1.3533834586E+00  5.2733733277E+08
  0.0000000000E+00  1.4035087719E+00  4.7920278733E+08
  0.0000000000E+00  1.4536340852E+00  4.3394775782E+08
  0.0000000000E+00  1.5037593985E+00  3.9160015762E+08
  0.0000000000E+00  1.5538847118E+00  3.5215638177E+08
  0.0000000000E+00  1.6040100251E+00  3.1558442703E+08
  0.0000000000E+00  1.6541353383E+00  2.8182717104E+08
  0.0000000000E+00  1.7042606516E+00  2.5080572996E+08
  0.0000000000E+00  1.7543859649E+00  2.2242282029E+08
  0.0000000000E+00  1.8045112782E+00  1.9656605796E+08
  0.0000000000E+00  1.8546365915E+00  1.7311113709E+08
  0.0000000000E+00  1.9047619048E+00  1.5192483940E+08
  0.0000000000E+00  1.9548872180E+00  1.3286783507E+08
  0.0000000000E+00  2.0050125313E+00  1.1579724514E+08
  0.0000000000E+00  2.0551378446E+00  1.0056894452E+08
  0.0000000000E+00  2.1052631579E+00  8.7039593260E+07
  0.0000000000E+00  2.1553884712E+00  7.5068391367E+07
  0.0000000000E+00  2.2055137845E+00  6.4518559461E+07
  0.0000000000E+00  2.2556390977E+00  5.5258553300E+07
  0.0000000000E+00  2.3057644110E+00  4.7163025276E+07
  0.0000000000E+00  2.3558897243E+00  4.0113549762E+07
  0.0000000000E+00  2.4060150376E+00  3.3999132191E+07
  0.0000000000E+00  2.4561403509E+00  2.8716523668E+07
  0.0000000000E+00  2.5062656642E+00  2.4170364108E+07
  0.0000000000E+00  2.5563909774E+00  2.0273177231E+07
  0.0000000000E+00  2.6065162907E+00  1.6945240510E+07
  0.0000000000E+00  2.6566416040E+00  1.4114352304E+07
  0.0000000000E+00  2.7067669173E+00  1.1715517192E+07
  0.0000000000E+00  2.7568922306E+00  9.6905689018E+06
  0.0000000000E+00  2.8070175439E+00  7.9877484183E+06
  0.0000000000E+00  2.8571428571E+00  6.5612529031E+06
  0.0000000000E+00  2.9072681704E+00  5.3707690052E+06
  0.0000000000E+00  2.9573934837E+00  4.3810021457E+06
  0.0000000000E+00  3.0075187970E+00  3.5612113905E+06
  0.0000000000E+00  3.0576441103E+00  2.8847576762E+06
  0.0000000000E+00  3.1077694236E+00  2.3286714437E+06
  0.0000000000E+00  3.1578947368E+00  1.8732441857E+06
  0.0000000000E+00  3.2080200501E+00  1.5016470422E+06
  0.0000000000E+00  3.2581453634E+00  1.1995783878E+06
  0.0000000000E+00  3.3082706767E+00  9.5494134383E+05
  0.0000000000E+00  3.3583959900E+00  7.5755131426E+05
  0.0000000000E+00  3.4085213033E+00  5.9887296973E+05
  0.0000000000E+00  3.4586466165E+00  4.7178558045E+05
  0.0000000000E+00  3.5087719298E+00  3.7037520985E+05
  0.0000000000E+00  3.5588972431E+00  2.8975200778E+05
  0.0000000000E+00  3.6090225564E+00  2.2589066992E+05
  0.0000000000E+00  3.6591478697E+00  1.7549204255E+05
  0.0000000000E+00  3.7092731830E+00  1.3586383215E+05
  0.0000000000E+00  3.7593984962E+00  1.0481841477E+05
  0.0000000000E+00  3.8095238095E+00  8.0585816501E+04
  0.0000000000E+00  3.8596491228E+00  6.1740043304E+04
  0.0000000000E+00  3.9097744361E+00  4.7137065794E+04
  0.0000000000E+00  3.9598997494E+00  3.5862904193E+04
  0.0000000000E+00  4.0100250627E+00  2.7190404163E+04
  0.0000000000E+00  4.0601503759E+00  2.0543439910E+04
  0.0000000000E+00  4.1102756892E+00  1.5467423084E+04
  0.0000000000E+00  4.1604010025E+00  1.1605131342E+04
  0.0000000000E+00  4.2105263158E+00  8.6769970713E+03
  0.0000000000E+00  4.2606516291E+00  6.4651132627E+03
  0.0000000000E+00  4.3107769424E+00  4.8003192388E+03
  0.0000000000E+00  4.3609022556E+00  3.5518236875E+03
  0.0000000000E+00  4.4110275689E+00  2.6189063820E+03
  0.0000000000E+00  4.4611528822E+00  1.9243135798E+03
  0.0000000000E+00  4.5112781955E+00  1.4090260140E+03
  0.0000000000E+00  4.5614035088E+00  1.0281334142E+03
  0.0000000000E+00  4.6115288221E+00  7.4759645343E+02
  0.0000000000E+00  4.6616541353E+00  5.4171677827E+02
  0.0000000000E+00  4.7117794486E+00  3.9116918698E+02
  0.0000000000E+00  4.7619047619E+00  2.8147788805E+02
  0.0000000000E+00  4.8120300752E+00  2.0184185376E+02
  0.0000000000E+00  4.8621553885E+00  1.4423327490E+02
  0.0000000000E+00  4.9122807018E+00  1.0270864478E+02
  0.0000000000E+00  4.9624060150E+00  7.2884609130E+01
  0.0000000000E+00  5.0125313283E+00  5.1540894944E+01
  0.0000000000E+00  5.0626566416E+00  3.6320797636E+01
  0.0000000000E+00  5.1127819549E+00  2.5506219662E+01
  0.0000000000E+00  5.1629072682E+00  1.7849420039E+01
  0.0000000000E+00  5.2130325815E+00  1.2447708792E+01
  0.0000000000E+00  5.2631578947E+00  8.6505162374E+00
  0.0000000000E+00  5.3132832080E+00  5.9907600861E+00
  0.0000000000E+00  5.3634085213E+00  4.1343679521E+00
