           #qpath      Energy(meV)
  0.0000000000E+00  4.5321277538E-02
  9.7016996573E-03  7.0784674453E-02
  1.9403399315E-02  1.1791717639E-01
  2.9105098972E-02  1.6973329871E-01
  3.8806798629E-02  2.2326205660E-01
  4.8508498287E-02  2.7781218566E-01
  5.8210197944E-02  3.3319256909E-01
  6.7911897601E-02  3.8936230757E-01
  7.7613597258E-02  4.4633262635E-01
  8.7315296916E-02  5.0413185218E-01
  9.7016996573E-02  5.6279056274E-01
  1.0671869623E-01  6.2233445302E-01
  1.1642039589E-01  6.8278060960E-01
  1.2612209554E-01  7.4413549029E-01
  1.3582379520E-01  8.0639385918E-01
  1.4552549486E-01  8.6953831401E-01
  1.5522719452E-01  9.3353921268E-01
  1.6492889417E-01  9.9835488697E-01
  1.7463059383E-01  1.0639320718E+00
  1.8433229349E-01  1.1302065007E+00
  1.9403399315E-01  1.1971036313E+00
  2.0373569280E-01  1.2645394707E+00
  2.1343739246E-01  1.3324214790E+00
  2.2313909212E-01  1.4006495302E+00
  2.3284079178E-01  1.4691169144E+00
  2.4254249143E-01  1.5377113670E+00
  2.5224419109E-01  1.6063161121E+00
  2.6194589075E-01  1.6748109109E+00
  2.7164759040E-01  1.7430731041E+00
  2.8134929006E-01  1.8109786408E+00
  2.9105098972E-01  1.8784030883E+00
  3.0075268938E-01  1.9452226135E+00
  3.1045438903E-01  2.0113149336E+00
  3.2015608869E-01  2.0765602285E+00
  3.2985778835E-01  2.1408420121E+00
  3.3955948801E-01  2.2040479582E+00
  3.4926118766E-01  2.2660706765E+00
  3.5896288732E-01  2.3268084373E+00
  3.6866458698E-01  2.3861658398E+00
  3.7836628663E-01  2.4440544234E+00
  3.8806798629E-01  2.5003932186E+00
  3.9776968595E-01  2.5551092360E+00
  4.0747138561E-01  2.6081378910E+00
  4.1717308526E-01  2.6594233637E+00
  4.2687478492E-01  2.7089188912E+00
  4.3657648458E-01  2.7565869927E+00
  4.4627818424E-01  2.8023996255E+00
  4.5597988389E-01  2.8463382705E+00
  4.6568158355E-01  2.8883939475E+00
  4.7538328321E-01  2.9285671586E+00
  4.8508498287E-01  2.9668677603E+00
  4.9478668252E-01  3.0033147615E+00
  5.0448838218E-01  3.0379360495E+00
  5.1419008184E-01  3.0707680424E+00
  5.2389178149E-01  3.1018552683E+00
  5.3359348115E-01  3.1312498721E+00
  5.4329518081E-01  3.1590110506E+00
  5.5299688047E-01  3.1852044182E+00
  5.6269858012E-01  3.2099013061E+00
  5.7240027978E-01  3.2331779977E+00
  5.8210197944E-01  3.2551149070E+00
  5.9180367910E-01  3.2757957042E+00
  6.0150537875E-01  3.2953063984E+00
  6.1120707841E-01  3.3137343849E+00
  6.2090877807E-01  3.3311674685E+00
  6.3061047772E-01  3.3476928756E+00
  6.4031217738E-01  3.3633962666E+00
  6.5001387704E-01  3.3783607649E+00
  6.5971557670E-01  3.3926660162E+00
  6.6941727635E-01  3.4063872948E+00
  6.7911897601E-01  3.4195946706E+00
  6.8882067567E-01  3.4323522546E+00
  6.9852237533E-01  3.4447175336E+00
  7.0822407498E-01  3.4567408107E+00
  7.1792577464E-01  3.4684647589E+00
  7.2762747430E-01  3.4799240997E+00
  7.3732917396E-01  3.4911454110E+00
  7.4703087361E-01  3.5021470691E+00
  7.5673257327E-01  3.5129393250E+00
  7.6643427293E-01  3.5235245129E+00
  7.7613597258E-01  3.5338973859E+00
  7.8583767224E-01  3.5440455717E+00
  7.9553937190E-01  3.5539501370E+00
  8.0524107156E-01  3.5635862499E+00
  8.1494277121E-01  3.5729239249E+00
  8.2464447087E-01  3.5819288367E+00
  8.3434617053E-01  3.5905631850E+00
  8.4404787019E-01  3.5987865954E+00
  8.5374956984E-01  3.6065570385E+00
  8.6345126950E-01  3.6138317512E+00
  8.7315296916E-01  3.6205681453E+00
  8.8285466881E-01  3.6267246866E+00
  8.9255636847E-01  3.6322617330E+00
  9.0225806813E-01  3.6371423167E+00
  9.1195976779E-01  3.6413328614E+00
  9.2166146744E-01  3.6448038228E+00
  9.3136316710E-01  3.6475302452E+00
  9.4106486676E-01  3.6494922257E+00
  9.5076656642E-01  3.6506752819E+00
  9.6046826607E-01  3.6510706173E+00
  9.6046826607E-01  3.6510706173E+00
  9.6389833488E-01  3.6514287068E+00
  9.6732840369E-01  3.6525026989E+00
  9.7075847250E-01  3.6542917655E+00
  9.7418854131E-01  3.6567945289E+00
  9.7761861012E-01  3.6600090659E+00
  9.8104867892E-01  3.6639329140E+00
  9.8447874773E-01  3.6685630778E+00
  9.8790881654E-01  3.6738960381E+00
