           #qpath      Energy(meV)
  0.0000000000E+00 -1.2930990372E-02
  7.4102191287E-03  2.6462808396E-02
  1.4820438257E-02  5.7828261002E-02
  2.2230657386E-02  8.8816428544E-02
  2.9640876515E-02  1.2058153638E-01
  3.7051095643E-02  1.5358554621E-01
  4.4461314772E-02  1.8816745263E-01
  5.1871533901E-02  2.2461370113E-01
  5.9281753029E-02  2.6317467425E-01
  6.6691972158E-02  3.0407048296E-01
  7.4102191287E-02  3.4749417865E-01
  8.1512410415E-02  3.9361435948E-01
  8.8922629544E-02  4.4257766171E-01
  9.6332848673E-02  4.9451120963E-01
  1.0374306780E-01  5.4952498366E-01
  1.1115328693E-01  6.0771405003E-01
  1.1856350606E-01  6.6916060776E-01
  1.2597372519E-01  7.3393582878E-01
  1.3338394432E-01  8.0210148350E-01
  1.4079416344E-01  8.7371135735E-01
  1.4820438257E-01  9.4881247193E-01
  1.5561460170E-01  1.0274461287E+00
  1.6302482083E-01  1.1096487949E+00
  1.7043503996E-01  1.1954528525E+00
  1.7784525909E-01  1.2848872276E+00
  1.8525547822E-01  1.3779779192E+00
  1.9266569735E-01  1.4747484408E+00
  2.0007591647E-01  1.5752201899E+00
  2.0748613560E-01  1.6794127555E+00
  2.1489635473E-01  1.7873441748E+00
  2.2230657386E-01  1.8990311456E+00
  2.2971679299E-01  2.0144892028E+00
  2.3712701212E-01  2.1337328646E+00
  2.4453723125E-01  2.2567757531E+00
  2.5194745037E-01  2.3836306928E+00
  2.5935766950E-01  2.5143097916E+00
  2.6676788863E-01  2.6488245068E+00
  2.7417810776E-01  2.7871856973E+00
  2.8158832689E-01  2.9294036662E+00
  2.8899854602E-01  3.0754881934E+00
  2.9640876515E-01  3.2254485604E+00
  3.0381898428E-01  3.3792935695E+00
  3.1122920340E-01  3.5370315563E+00
  3.1863942253E-01  3.6986703982E+00
  3.2604964166E-01  3.8642175184E+00
  3.3345986079E-01  4.0336798871E+00
  3.4087007992E-01  4.2070640195E+00
  3.4828029905E-01  4.3843759710E+00
  3.5569051818E-01  4.5656213310E+00
  3.6310073730E-01  4.7508052144E+00
  3.7051095643E-01  4.9399322521E+00
  3.7792117556E-01  5.1330065798E+00
  3.8533139469E-01  5.3300318266E+00
  3.9274161382E-01  5.5310111012E+00
  4.0015183295E-01  5.7359469796E+00
  4.0756205208E-01  5.9448414900E+00
  4.1497227121E-01  6.1576960994E+00
  4.2238249033E-01  6.3745116980E+00
  4.2979270946E-01  6.5952885847E+00
  4.3720292859E-01  6.8200264520E+00
  4.4461314772E-01  7.0487243706E+00
  4.5202336685E-01  7.2813807745E+00
  4.5943358598E-01  7.5179934458E+00
  4.6684380511E-01  7.7585594996E+00
  4.7425402424E-01  8.0030753691E+00
  4.8166424336E-01  8.2515367913E+00
  4.8907446249E-01  8.5039387920E+00
  4.9648468162E-01  8.7602756719E+00
  5.0389490075E-01  9.0205409925E+00
  5.1130511988E-01  9.2847275625E+00
  5.1871533901E-01  9.5528274246E+00
  5.2612555814E-01  9.8248318419E+00
  5.3353577726E-01  1.0100731286E+01
  5.4094599639E-01  1.0380515424E+01
  5.4835621552E-01  1.0664173107E+01
  5.5576643465E-01  1.0951692357E+01
  5.6317665378E-01  1.1243060357E+01
  5.7058687291E-01  1.1538263443E+01
  5.7799709204E-01  1.1837287085E+01
  5.8540731117E-01  1.2140115885E+01
  5.9281753029E-01  1.2446733564E+01
  6.0022774942E-01  1.2757122953E+01
  6.0763796855E-01  1.3071265981E+01
  6.1504818768E-01  1.3389143671E+01
  6.2245840681E-01  1.3710736127E+01
  6.2986862594E-01  1.4036022530E+01
  6.3727884507E-01  1.4364981125E+01
  6.4468906419E-01  1.4697589219E+01
  6.5209928332E-01  1.5033823168E+01
  6.5950950245E-01  1.5373658373E+01
  6.6691972158E-01  1.5717069275E+01
  6.7432994071E-01  1.6064029341E+01
  6.8174015984E-01  1.6414511066E+01
  6.8915037897E-01  1.6768485960E+01
  6.9656059810E-01  1.7125924547E+01
  7.0397081722E-01  1.7486796354E+01
  7.1138103635E-01  1.7851069906E+01
  7.1879125548E-01  1.8218712723E+01
  7.2620147461E-01  1.8589691310E+01
  7.3361169374E-01  1.8963971153E+01
  7.4102191287E-01  1.9341516710E+01
  7.4843213200E-01  1.9722291410E+01
  7.5584235112E-01  2.0106257641E+01
  7.6325257025E-01  2.0493376745E+01
  7.7066278938E-01  2.0883609011E+01
  7.7807300851E-01  2.1276913672E+01
  7.8548322764E-01  2.1673248887E+01
  7.9289344677E-01  2.2072571744E+01
  8.0030366590E-01  2.2474838245E+01
  8.0771388503E-01  2.2880003299E+01
  8.1512410415E-01  2.3288020712E+01
  8.2253432328E-01  2.3698843174E+01
  8.2994454241E-01  2.4112422255E+01
  8.3735476154E-01  2.4528708383E+01
  8.4476498067E-01  2.4947650840E+01
  8.5217519980E-01  2.5369197742E+01
  8.5958541893E-01  2.5793296028E+01
  8.6699563805E-01  2.6219891439E+01
  8.7440585718E-01  2.6648928505E+01
  8.8181607631E-01  2.7080350522E+01
  8.8922629544E-01  2.7514099532E+01
  8.9663651457E-01  2.7950116302E+01
  9.0404673370E-01  2.8388340295E+01
  9.1145695283E-01  2.8828709647E+01
  9.1886717196E-01  2.9271161137E+01
  9.2627739108E-01  2.9715630151E+01
  9.3368761021E-01  3.0162050651E+01
  9.4109782934E-01  3.0610355138E+01
  9.4850804847E-01  3.1060474606E+01
  9.5591826760E-01  3.1512338502E+01
  9.6332848673E-01  3.1965874672E+01
  9.7073870586E-01  3.2421009313E+01
  9.7814892498E-01  3.2877666909E+01
  9.8555914411E-01  3.3335770173E+01
  9.9296936324E-01  3.3795239975E+01
  1.0003795824E+00  3.4255995266E+01
  1.0077898015E+00  3.4717953000E+01
  1.0152000206E+00  3.5181028037E+01
  1.0226102398E+00  3.5645133055E+01
  1.0300204589E+00  3.6110178436E+01
  1.0374306780E+00  3.6576072152E+01
  1.0448408971E+00  3.7042719641E+01
  1.0522511163E+00  3.7510023663E+01
  1.0596613354E+00  3.7977884155E+01
  1.0670715545E+00  3.8446198060E+01
  1.0744817737E+00  3.8914859151E+01
  1.0818919928E+00  3.9383757831E+01
  1.0893022119E+00  3.9852780916E+01
  1.0967124310E+00  4.0321811403E+01
  1.1041226502E+00  4.0790728207E+01
  1.1115328693E+00  4.1259405880E+01
  1.1189430884E+00  4.1727714299E+01
  1.1263533076E+00  4.2195518329E+01
  1.1337635267E+00  4.2662677446E+01
  1.1411737458E+00  4.3129045333E+01
  1.1485839649E+00  4.3594469430E+01
  1.1559941841E+00  4.4058790441E+01
  1.1634044032E+00  4.4521841799E+01
  1.1708146223E+00  4.4983449072E+01
  1.1782248415E+00  4.5443429314E+01
  1.1856350606E+00  4.5901590357E+01
  1.1930452797E+00  4.6357730029E+01
  1.2004554988E+00  4.6811635299E+01
  1.2078657180E+00  4.7263081345E+01
  1.2152759371E+00  4.7711830530E+01
  1.2226861562E+00  4.8157631282E+01
  1.2300963754E+00  4.8600216874E+01
  1.2375065945E+00  4.9039304100E+01
  1.2449168136E+00  4.9474591829E+01
  1.2523270327E+00  4.9905759444E+01
  1.2597372519E+00  5.0332465155E+01
  1.2671474710E+00  5.0754344190E+01
  1.2745576901E+00  5.1171006861E+01
  1.2819679093E+00  5.1582036513E+01
  1.2893781284E+00  5.1986987366E+01
  1.2967883475E+00  5.2385382282E+01
  1.3041985666E+00  5.2776710458E+01
  1.3116087858E+00  5.3160425128E+01
  1.3190190049E+00  5.3535941292E+01
