           #qpath      Energy(meV)
  0.0000000000E+00 -1.6075105008E-06
  9.6546137462E-03  5.9341808984E-02
  1.9309227492E-02  1.1956703797E-01
  2.8963841239E-02  1.8152675907E-01
  3.8618454985E-02  2.4601086500E-01
  4.8273068731E-02  3.1372548699E-01
  5.7927682477E-02  3.8527811538E-01
  6.7582296223E-02  4.6117052495E-01
  7.7236909970E-02  5.4179854156E-01
  8.6891523716E-02  6.2745708422E-01
  9.6546137462E-02  7.1834875909E-01
  1.0620075121E-01  8.1459444360E-01
  1.1585536495E-01  9.1624462112E-01
  1.2550997870E-01  1.0232905870E+00
  1.3516459245E-01  1.1356749684E+00
  1.4481920619E-01  1.2533012502E+00
  1.5447381994E-01  1.3760421795E+00
  1.6412843369E-01  1.5037470337E+00
  1.7378304743E-01  1.6362478084E+00
  1.8343766118E-01  1.7733644144E+00
  1.9309227492E-01  1.9149089904E+00
  2.0274688867E-01  2.0606894400E+00
  2.1240150242E-01  2.2105122948E+00
  2.2205611616E-01  2.3641850006E+00
  2.3171072991E-01  2.5215177108E+00
  2.4136534365E-01  2.6823246636E+00
  2.5101995740E-01  2.8464252092E+00
  2.6067457115E-01  3.0136445446E+00
  2.7032918489E-01  3.1838142061E+00
  2.7998379864E-01  3.3567723619E+00
  2.8963841239E-01  3.5323639432E+00
  2.9929302613E-01  3.7104406428E+00
  3.0894763988E-01  3.8908608103E+00
  3.1860225362E-01  4.0734892650E+00
  3.2825686737E-01  4.2581970461E+00
  3.3791148112E-01  4.4448611165E+00
  3.4756609486E-01  4.6333640326E+00
  3.5722070861E-01  4.8235935920E+00
  3.6687532236E-01  5.0154424678E+00
  3.7652993610E-01  5.2088078365E+00
  3.8618454985E-01  5.4035910063E+00
  3.9583916359E-01  5.5996970495E+00
  4.0549377734E-01  5.7970344440E+00
  4.1514839109E-01  5.9955147252E+00
  4.2480300483E-01  6.1950521516E+00
  4.3445761858E-01  6.3955633852E+00
  4.4411223232E-01  6.5969671878E+00
  4.5376684607E-01  6.7991841335E+00
  4.6342145982E-01  7.0021363381E+00
  4.7307607356E-01  7.2057472053E+00
  4.8273068731E-01  7.4099411892E+00
  4.9238530106E-01  7.6146435728E+00
  5.0203991480E-01  7.8197802620E+00
  5.1169452855E-01  8.0252775941E+00
  5.2134914229E-01  8.2310621609E+00
  5.3100375604E-01  8.4370606439E+00
  5.4065836979E-01  8.6431996623E+00
  5.5031298353E-01  8.8494056318E+00
  5.5996759728E-01  9.0556046336E+00
  5.6962221103E-01  9.2617222922E+00
  5.7927682477E-01  9.4676836609E+00
  5.8893143852E-01  9.6734131143E+00
  5.9858605226E-01  9.8788342464E+00
  6.0824066601E-01  1.0083869772E+01
  6.1789527976E-01  1.0288441430E+01
  6.2754989350E-01  1.0492469895E+01
  6.3720450725E-01  1.0695874677E+01
  6.4685912099E-01  1.0898574030E+01
  6.5651373474E-01  1.1100484853E+01
  6.6616834849E-01  1.1301522589E+01
  6.7582296223E-01  1.1501601111E+01
  6.8547757598E-01  1.1700632611E+01
  6.9513218973E-01  1.1898527463E+01
  7.0478680347E-01  1.2095194090E+01
  7.1444141722E-01  1.2290538798E+01
  7.2409603096E-01  1.2484465609E+01
  7.3375064471E-01  1.2676876060E+01
  7.4340525846E-01  1.2867668981E+01
  7.5305987220E-01  1.3056740249E+01
  7.6271448595E-01  1.3243982503E+01
  7.7236909970E-01  1.3429284826E+01
  7.8202371344E-01  1.3612532388E+01
  7.9167832719E-01  1.3793606032E+01
  8.0133294093E-01  1.3972381823E+01
  8.1098755468E-01  1.4148730522E+01
  8.2064216843E-01  1.4322517005E+01
  8.3029678217E-01  1.4493599602E+01
  8.3995139592E-01  1.4661829366E+01
  8.4960600966E-01  1.4827049241E+01
  8.5926062341E-01  1.4989093151E+01
  8.6891523716E-01  1.5147784973E+01
  8.7856985090E-01  1.5302937419E+01
  8.8822446465E-01  1.5454350806E+01
  8.9787907840E-01  1.5601811716E+01
  9.0753369214E-01  1.5745091569E+01
  9.1718830589E-01  1.5883945111E+01
  9.2684291963E-01  1.6018108846E+01
  9.3649753338E-01  1.6147299462E+01
  9.4615214713E-01  1.6271212313E+01
  9.5580676087E-01  1.6389520036E+01
  9.5580676087E-01  1.6389520036E+01
  9.6269107812E-01  1.6390138062E+01
  9.6957539537E-01  1.6391991392E+01
  9.7645971262E-01  1.6395077781E+01
  9.8334402986E-01  1.6399393492E+01
  9.9022834711E-01  1.6404933304E+01
  9.9711266436E-01  1.6411690522E+01
  1.0039969816E+00  1.6419656992E+01
  1.0108812989E+00  1.6428823115E+01
  1.0177656161E+00  1.6439177865E+01
  1.0246499333E+00  1.6450708816E+01
  1.0315342506E+00  1.6463402160E+01
  1.0384185678E+00  1.6477242736E+01
  1.0453028851E+00  1.6492214063E+01
  1.0521872023E+00  1.6508298363E+01
  1.0590715196E+00  1.6525476602E+01
  1.0659558368E+00  1.6543728523E+01
  1.0728401541E+00  1.6563032681E+01
  1.0797244713E+00  1.6583366483E+01
  1.0866087886E+00  1.6604706231E+01
  1.0934931058E+00  1.6627027160E+01
  1.1003774231E+00  1.6650303483E+01
  1.1072617403E+00  1.6674508432E+01
  1.1141460576E+00  1.6699614307E+01
  1.1210303748E+00  1.6725592517E+01
  1.1279146921E+00  1.6752413627E+01
  1.1347990093E+00  1.6780047408E+01
  1.1416833266E+00  1.6808462874E+01
  1.1485676438E+00  1.6837628337E+01
  1.1554519610E+00  1.6867511448E+01
  1.1623362783E+00  1.6898079243E+01
  1.1692205955E+00  1.6929298186E+01
  1.1761049128E+00  1.6961134218E+01
  1.1829892300E+00  1.6993552790E+01
  1.1898735473E+00  1.7026518913E+01
  1.1967578645E+00  1.7059997188E+01
  1.2036421818E+00  1.7093951849E+01
  1.2105264990E+00  1.7128346793E+01
  1.2174108163E+00  1.7163145604E+01
  1.2242951335E+00  1.7198311584E+01
  1.2311794508E+00  1.7233807761E+01
  1.2380637680E+00  1.7269596893E+01
  1.2449480853E+00  1.7305641460E+01
  1.2518324025E+00  1.7341903622E+01
  1.2587167198E+00  1.7378345152E+01
  1.2656010370E+00  1.7414927294E+01
  1.2724853543E+00  1.7451610538E+01
  1.2793696715E+00  1.7488354206E+01
  1.2862539887E+00  1.7525115716E+01
  1.2931383060E+00  1.7561849209E+01
  1.3000226232E+00  1.7598502793E+01
  1.3069069405E+00  1.7635012572E+01
  1.3137912577E+00  1.7671288048E+01
  1.3206755750E+00  1.7707170074E+01
