           #qpath      Energy(meV)
  0.0000000000E+00 -2.5851566605E-01
  1.1174106604E-02 -1.4775870412E-01
  2.2348213208E-02  1.0249623865E-01
  3.3522319811E-02  1.9525424381E-01
  4.4696426415E-02  2.7035737644E-01
  5.5870533019E-02  3.4379145652E-01
  6.7044639623E-02  4.1830879220E-01
  7.8218746227E-02  4.9490724348E-01
  8.9392852831E-02  5.7415728909E-01
  1.0056695943E-01  6.5648198937E-01
  1.1174106604E-01  7.4223570579E-01
  1.2291517264E-01  8.3173091916E-01
  1.3408927925E-01  9.2524895501E-01
  1.4526338585E-01  1.0230450640E+00
  1.5643749245E-01  1.1253513470E+00
  1.6761159906E-01  1.2323788003E+00
  1.7878570566E-01  1.3443189742E+00
  1.8995981226E-01  1.4613454326E+00
  2.0113391887E-01  1.5836150863E+00
  2.1230802547E-01  1.7112694209E+00
  2.2348213208E-01  1.8444356238E+00
  2.3465623868E-01  1.9832276087E+00
  2.4583034528E-01  2.1277469369E+00
  2.5700445189E-01  2.2780836373E+00
  2.6817855849E-01  2.4343169261E+00
  2.7935266510E-01  2.5965158334E+00
  2.9052677170E-01  2.7647397424E+00
  3.0170087830E-01  2.9390388485E+00
  3.1287498491E-01  3.1194545478E+00
  3.2404909151E-01  3.3060197613E+00
  3.3522319811E-01  3.4987592042E+00
  3.4639730472E-01  3.6976896077E+00
  3.5757141132E-01  3.9028199006E+00
  3.6874551793E-01  4.1141513565E+00
  3.7991962453E-01  4.3316777139E+00
  3.9109373113E-01  4.5553852729E+00
  4.0226783774E-01  4.7852529751E+00
  4.1344194434E-01  5.0212524686E+00
  4.2461605094E-01  5.2633481632E+00
  4.3579015755E-01  5.5114972778E+00
  4.4696426415E-01  5.7656498825E+00
  4.5813837076E-01  6.0257489373E+00
  4.6931247736E-01  6.2917303290E+00
  4.8048658396E-01  6.5635229064E+00
  4.9166069057E-01  6.8410485156E+00
  5.0283479717E-01  7.1242220346E+00
  5.1400890378E-01  7.4129514072E+00
  5.2518301038E-01  7.7071376766E+00
  5.3635711698E-01  8.0066750162E+00
  5.4753122359E-01  8.3114507586E+00
  5.5870533019E-01  8.6213454197E+00
  5.6987943679E-01  8.9362327169E+00
  5.8105354340E-01  9.2559795802E+00
  5.9222765000E-01  9.5804461519E+00
  6.0340175661E-01  9.9094857745E+00
  6.1457586321E-01  1.0242944962E+01
  6.2574996981E-01  1.0580663354E+01
  6.3692407642E-01  1.0922473642E+01
  6.4809818302E-01  1.1268201475E+01
  6.5927228963E-01  1.1617665324E+01
  6.7044639623E-01  1.1970676316E+01
