           #qpath      Energy(meV)
  0.0000000000E+00 -3.8621787055E-04
  1.3833734142E-03  9.4855704487E-03
  2.7667468285E-03  1.9291344959E-02
  4.1501202427E-03  2.9029078766E-02
  5.5334936569E-03  3.8754112521E-02
  6.9168670712E-03  4.8478295958E-02
  8.3002404854E-03  5.8206309817E-02
  9.6836138997E-03  6.7940803432E-02
  1.1066987314E-02  7.7683689764E-02
  1.2450360728E-02  8.7436575867E-02
  1.3833734142E-02  9.7200929206E-02
  1.5217107557E-02  1.0697814695E-01
  1.6600480971E-02  1.1676958734E-01
  1.7983854385E-02  1.2657658419E-01
  1.9367227799E-02  1.3640045358E-01
  2.0750601214E-02  1.4624249775E-01
  2.2133974628E-02  1.5610400633E-01
  2.3517348042E-02  1.6598625747E-01
  2.4900721456E-02  1.7589051799E-01
  2.6284094870E-02  1.8581804348E-01
  2.7667468285E-02  1.9577007829E-01
  2.9050841699E-02  2.0574785513E-01
  3.0434215113E-02  2.1575259508E-01
  3.1817588527E-02  2.2578550709E-01
  3.3200961942E-02  2.3584778776E-01
  3.4584335356E-02  2.4594062099E-01
  3.5967708770E-02  2.5606517756E-01
  3.7351082184E-02  2.6622261487E-01
  3.8734455599E-02  2.7641407652E-01
  4.0117829013E-02  2.8664069186E-01
  4.1501202427E-02  2.9690357575E-01
  4.2884575841E-02  3.0720382807E-01
  4.4267949256E-02  3.1754253335E-01
  4.5651322670E-02  3.2792076053E-01
  4.7034696084E-02  3.3833956225E-01
  4.8418069498E-02  3.4879997479E-01
  4.9801442913E-02  3.5930301754E-01
  5.1184816327E-02  3.6984969251E-01
  5.2568189741E-02  3.8044098408E-01
  5.3951563155E-02  3.9107785857E-01
  5.5334936569E-02  4.0176126365E-01
  5.6718309984E-02  4.1249212814E-01
  5.8101683398E-02  4.2327136141E-01
  5.9485056812E-02  4.3409985299E-01
  6.0868430226E-02  4.4497847203E-01
  6.2251803641E-02  4.5590806686E-01
  6.3635177055E-02  4.6688946444E-01
  6.5018550469E-02  4.7792346974E-01
  6.6401923883E-02  4.8901086518E-01
  6.7785297298E-02  5.0015240995E-01
  6.9168670712E-02  5.1134883935E-01
  7.0552044126E-02  5.2260086392E-01
  7.1935417540E-02  5.3390916862E-01
  7.3318790955E-02  5.4527441193E-01
  7.4702164369E-02  5.5669722473E-01
  7.6085537783E-02  5.6817820912E-01
  7.7468911197E-02  5.7971793713E-01
  7.8852284611E-02  5.9131694919E-01
  8.0235658026E-02  6.0297575241E-01
  8.1619031440E-02  6.1469481867E-01
  8.3002404854E-02  6.2647458231E-01
  8.4385778268E-02  6.3831543762E-01
  8.5769151683E-02  6.5021773582E-01
  8.7152525097E-02  6.6218178161E-01
  8.8535898511E-02  6.7420782904E-01
  8.9919271925E-02  6.8629607689E-01
  9.1302645340E-02  6.9844666297E-01
  9.2686018754E-02  7.1065965749E-01
  9.4069392168E-02  7.2293505524E-01
  9.5452765582E-02  7.3527276605E-01
  9.6836138997E-02  7.4767260353E-01
  9.8219512411E-02  7.6013427130E-01
  9.9602885825E-02  7.7265734630E-01
  1.0098625924E-01  7.8524125833E-01
  1.0236963265E-01  7.9788526486E-01
  1.0375300607E-01  8.1058841978E-01
  1.0513637948E-01  8.2334953415E-01
  1.0651975290E-01  8.3616712689E-01
  1.0790312631E-01  8.4903936183E-01
  1.0928649972E-01  8.6196396690E-01
  1.1066987314E-01  8.7493812916E-01
  1.1205324655E-01  8.8795835697E-01
  1.1343661997E-01  9.0102029672E-01
  1.1481999338E-01  9.1411848607E-01
  1.1620336680E-01  9.2724601669E-01
  1.1758674021E-01  9.4039406631E-01
  1.1897011362E-01  9.5355123817E-01
  1.2035348704E-01  9.6670261122E-01
  1.2173686045E-01  9.7982834684E-01
  1.2312023387E-01  9.9290160034E-01
  1.2450360728E-01  1.0058853179E+00
  1.2588698070E-01  1.0187272057E+00
  1.2727035411E-01  1.0313516432E+00
  1.2865372752E-01  1.0436464252E+00
  1.3003710094E-01  1.0554408127E+00
  1.3142047435E-01  1.0664697432E+00
  1.3280384777E-01  1.0763198901E+00
  1.3418722118E-01  1.0843678976E+00
  1.3557059460E-01  1.0897767418E+00
  1.3695396801E-01  1.0917052918E+00
  1.3695396801E-01  1.0917052918E+00
  1.3833388131E-01  1.0917988360E+00
  1.3971379461E-01  1.0920794400E+00
  1.4109370791E-01  1.0925470173E+00
  1.4247362121E-01  1.0932014242E+00
  1.4385353452E-01  1.0940424598E+00
